name,submissions,placements,time_to_first_submission,requirements_submitted_to,submissions_to_interview_number,interview_to_offer_number
Recruiter_134,51,7,2.24,49,0.72,3.52
Recruiter_135,51,10,8.65,38,1.19,2.76
Recruiter_136,57,10,1.68,86,1.68,1.16
Recruiter_137,50,9,0.45,89,2.7,3.42
Recruiter_138,58,13,2.25,13,0.76,2.05
Recruiter_139,57,6,3.02,68,1.28,2.56
Recruiter_140,44,6,3.27,41,0.55,4.42
Recruiter_141,67,19,10.18,61,1.68,2.19
Recruiter_142,46,9,12.02,36,0.65,1.78
Recruiter_143,41,9,7.6,68,2.36,4.64
Recruiter_144,49,5,5.46,76,2.84,1.15
Recruiter_145,50,7,8.54,18,1.78,2.37
Recruiter_146,34,8,4.87,15,0.69,2.22
Recruiter_147,51,11,10.93,45,1.38,2.54
Recruiter_148,42,6,2.15,70,0.94,2.12
Recruiter_149,49,4,0.78,50,0.57,2.47
Recruiter_150,58,7,1.66,83,1.94,3.67
Recruiter_151,56,5,13.57,11,2.5,3.4
Recruiter_152,57,11,0.29,90,2.69,4.5
Recruiter_153,60,11,20.76,61,2.48,3.91
Recruiter_154,58,10,7.51,91,1.59,4.64
Recruiter_155,45,6,0.61,98,0.84,2.46
Recruiter_156,52,9,7.56,84,2.65,4.85
Recruiter_157,51,9,5.75,88,0.86,4.4
Recruiter_158,49,11,3.04,64,2.04,4.21
Recruiter_159,46,13,10.73,93,1.26,4.1
Recruiter_160,56,12,2.19,81,1.59,4.59
Recruiter_161,57,7,2.1,77,1.15,2.71
Recruiter_162,57,8,4.81,86,2.09,1.42
Recruiter_163,49,8,5.88,64,1.89,1.34
Recruiter_164,47,14,3.06,47,0.57,2.31
Recruiter_165,55,9,3.37,74,1.2,2.42
Recruiter_166,57,13,0.16,54,1.96,4.68
Recruiter_167,50,13,6.09,85,0.63,4.06
Recruiter_168,37,16,2.85,39,2.2,2.23
Recruiter_169,40,13,5.37,89,2.45,2.86
Recruiter_170,44,11,14.39,40,0.65,2.94
Recruiter_171,62,15,2.12,65,0.8,2.72
Recruiter_172,66,2,11.94,66,1.98,4.29
Recruiter_173,43,9,11.55,21,1.02,3.12
Recruiter_174,40,6,1.89,34,2.89,1.32
Recruiter_175,36,4,25.86,34,1.11,1.18
Recruiter_176,50,17,20.15,91,2.84,4.03
Recruiter_177,55,14,5.77,75,0.95,3.65
Recruiter_178,42,20,4.14,74,0.72,4.15
Recruiter_179,50,15,10.05,14,2.59,3.15
Recruiter_180,53,7,5.63,58,2.72,3.4
Recruiter_181,56,10,1.79,60,2.18,3.84
Recruiter_182,53,8,4.39,33,1.44,3.82
Recruiter_183,42,7,1.74,79,1.69,3.69
Recruiter_184,46,8,8.35,78,1.12,1.19
Recruiter_185,57,13,5.59,51,2.17,4.98
Recruiter_186,61,8,0.41,13,2.87,4.12
Recruiter_187,65,7,16.09,14,0.83,3.21
Recruiter_188,50,7,41.91,62,2.44,1.39
Recruiter_189,54,6,8.67,67,0.85,3.23
Recruiter_190,45,9,0.49,94,1.25,1.47
Recruiter_191,44,6,4.62,62,1.08,2.35
Recruiter_192,39,11,9.55,44,1.47,4.68
Recruiter_193,45,15,8.46,86,2.33,1.25
Recruiter_194,47,10,36.33,65,0.67,4.68
Recruiter_195,41,6,3.77,88,1.22,2.88
Recruiter_196,51,9,8.61,60,2.24,4.83
Recruiter_197,47,9,0.25,31,2.2,1.06
Recruiter_198,47,11,0.36,43,2.5,4.03
Recruiter_199,45,15,2.55,17,0.51,1.29
Recruiter_200,56,11,5.0,71,2.51,2.63
Recruiter_201,50,12,3.6,14,2.68,1.23
Recruiter_202,44,8,1.92,78,1.57,3.07
Recruiter_203,55,11,3.39,90,2.48,2.77
Recruiter_204,43,12,1.4,21,1.62,1.84
Recruiter_205,51,15,10.24,86,1.77,2.15
Recruiter_206,42,10,0.12,11,2.67,1.07
Recruiter_207,51,9,0.08,60,1.92,2.24
Recruiter_208,48,9,2.33,38,2.47,1.27
Recruiter_209,44,13,2.51,15,2.57,4.73
Recruiter_210,57,11,3.64,62,0.71,1.54
Recruiter_211,54,7,1.25,15,2.79,2.61
Recruiter_212,46,4,4.54,45,1.75,3.15
Recruiter_213,45,11,12.52,92,1.18,4.84
Recruiter_214,42,10,3.56,85,0.53,2.7
Recruiter_215,50,9,2.79,42,1.65,2.36
Recruiter_216,48,11,12.76,46,1.79,3.23
Recruiter_217,46,14,19.26,55,2.66,3.23
Recruiter_218,42,13,8.31,52,1.41,3.39
Recruiter_219,61,8,3.58,37,1.16,1.91
Recruiter_220,49,15,1.01,80,1.45,3.75
Recruiter_221,48,15,27.2,37,1.98,4.6
Recruiter_222,57,11,17.97,33,1.88,4.01
Recruiter_223,63,3,23.66,54,1.04,2.87
Recruiter_224,40,12,23.39,19,1.51,1.87
Recruiter_225,58,10,16.57,68,1.63,1.72
Recruiter_226,48,5,1.45,43,1.66,3.69
Recruiter_227,68,7,1.78,75,1.76,4.75
Recruiter_228,50,9,0.32,25,0.55,3.44
Recruiter_229,51,11,23.37,20,2.62,4.12
Recruiter_230,54,14,14.63,37,2.61,4.04
Recruiter_231,62,8,0.29,86,1.93,2.92
Recruiter_232,39,11,8.45,64,2.54,4.49
Recruiter_233,56,13,6.21,90,0.61,1.29
Recruiter_234,40,4,17.43,64,1.3,3.64
Recruiter_235,57,9,5.47,48,1.46,2.47
Recruiter_236,59,7,3.19,97,0.92,2.7
Recruiter_237,45,8,1.01,63,0.86,4.76
Recruiter_238,47,12,4.67,48,1.21,3.43
Recruiter_239,51,11,0.49,51,1.29,3.26
Recruiter_240,54,9,0.32,24,1.69,2.2
Recruiter_241,42,12,16.94,39,2.0,4.17
Recruiter_242,56,10,6.48,51,2.5,3.85
Recruiter_243,40,4,1.66,69,1.05,2.71
Recruiter_244,45,15,2.7,79,0.57,3.38
Recruiter_245,48,11,7.04,21,1.48,1.28
Recruiter_246,52,10,4.68,54,1.45,1.12
Recruiter_247,62,8,0.31,94,1.0,2.85
Recruiter_248,62,7,0.88,71,2.46,1.05
Recruiter_249,50,10,1.17,11,0.88,2.1
Recruiter_250,50,5,1.64,86,0.7,2.7
Recruiter_251,47,9,0.14,34,0.88,3.62
Recruiter_252,36,11,12.61,53,1.54,1.58
Recruiter_253,56,11,5.81,81,2.44,4.47
Recruiter_254,50,13,15.38,22,2.03,3.84
Recruiter_255,55,11,2.47,73,1.92,1.79
Recruiter_256,61,6,4.77,96,2.85,3.87
Recruiter_257,67,7,2.06,31,1.74,1.24
Recruiter_258,43,7,6.16,85,1.51,2.22
Recruiter_259,43,12,8.82,82,1.24,3.93
Recruiter_260,59,8,0.37,99,2.15,2.48
Recruiter_261,56,7,8.72,86,1.5,3.11
Recruiter_262,55,13,5.49,99,0.53,4.34
Recruiter_263,54,6,1.58,66,2.96,3.59
Recruiter_264,51,13,5.01,15,1.07,4.73
Recruiter_265,45,7,23.97,75,1.76,2.45
Recruiter_266,51,12,1.65,13,0.58,1.4
Recruiter_267,51,8,1.69,77,2.61,1.83
Recruiter_268,39,9,25.83,52,1.92,3.81
Recruiter_269,61,12,4.43,33,0.93,1.85
Recruiter_270,50,17,11.78,24,2.77,1.19
Recruiter_271,53,12,8.46,79,0.97,2.4
Recruiter_272,56,9,28.72,17,2.91,3.07
Recruiter_273,61,6,0.54,40,2.95,2.06
Recruiter_274,45,9,0.99,14,1.36,3.58
Recruiter_275,46,17,3.29,94,1.03,4.83
Recruiter_276,60,12,20.03,39,2.75,2.11
Recruiter_277,36,12,2.9,81,1.86,1.78
Recruiter_278,46,9,4.34,22,0.8,2.71
Recruiter_279,43,12,0.86,37,1.8,3.81
Recruiter_280,52,11,6.58,54,0.78,3.68
Recruiter_281,44,13,20.6,31,2.78,2.24
Recruiter_282,59,9,16.5,49,0.98,4.96
Recruiter_283,45,11,13.62,27,2.34,2.42
Recruiter_284,59,11,9.75,83,1.7,1.76
Recruiter_285,36,13,17.03,10,1.82,4.25
Recruiter_286,45,12,0.4,98,0.84,2.52
Recruiter_287,50,12,7.78,23,2.03,4.88
Recruiter_288,50,9,0.13,21,1.42,3.16
Recruiter_289,38,10,1.29,32,1.77,3.41
Recruiter_290,50,11,2.53,62,2.47,4.57
Recruiter_291,46,15,0.29,42,2.14,1.77
Recruiter_292,58,12,3.12,85,1.29,4.16
Recruiter_293,56,17,0.73,60,2.54,3.93
Recruiter_294,55,9,7.53,92,1.57,2.73
Recruiter_295,56,11,3.95,88,2.39,4.64
Recruiter_296,56,8,8.64,68,2.95,3.23
Recruiter_297,51,6,3.66,42,0.95,1.03
Recruiter_298,55,9,4.28,72,2.15,1.52
Recruiter_299,39,11,14.34,92,2.16,1.41
Recruiter_300,34,10,27.23,24,0.9,3.24
Recruiter_301,53,7,1.98,99,1.66,4.13
Recruiter_302,65,10,3.13,45,1.54,3.37
Recruiter_303,48,8,16.94,33,2.98,4.72
Recruiter_304,50,9,1.3,83,1.69,1.73
Recruiter_305,55,9,0.09,71,1.19,1.61
Recruiter_306,57,8,24.41,85,1.85,1.33
Recruiter_307,55,8,5.43,16,1.27,1.74
Recruiter_308,56,9,7.48,77,2.22,3.68
Recruiter_309,58,6,2.17,66,1.45,1.08
Recruiter_310,46,10,1.11,58,2.24,2.58
Recruiter_311,47,13,11.28,75,1.54,4.13
Recruiter_312,69,13,0.1,87,2.3,1.03
Recruiter_313,66,12,7.45,85,0.85,1.24
Recruiter_314,36,7,2.98,53,2.37,2.7
Recruiter_315,45,6,1.21,57,1.97,1.25
Recruiter_316,55,10,26.96,10,1.71,3.14
Recruiter_317,50,11,10.23,76,2.1,2.2
Recruiter_318,49,10,6.36,99,1.08,3.66
Recruiter_319,39,21,1.32,97,2.01,2.33
Recruiter_320,49,14,0.34,96,1.95,3.64
Recruiter_321,52,13,5.08,29,1.28,2.57
Recruiter_322,59,10,6.77,64,0.87,4.17
Recruiter_323,51,8,0.08,23,2.46,2.98
Recruiter_324,51,6,13.96,77,0.91,4.83
Recruiter_325,49,7,24.89,60,1.37,1.11
Recruiter_326,49,4,28.71,38,2.5,3.76
Recruiter_327,43,9,1.25,27,2.08,4.89
Recruiter_328,38,16,3.56,62,1.58,3.38
Recruiter_329,56,12,0.85,11,1.73,3.62
Recruiter_330,46,13,0.92,64,1.12,1.47
Recruiter_331,41,11,1.57,82,2.36,3.37
Recruiter_332,48,4,9.96,79,0.8,1.19
Recruiter_333,57,18,20.17,45,0.76,4.25
Recruiter_334,55,12,1.04,84,2.73,4.87
Recruiter_335,55,12,16.73,34,1.35,2.05
Recruiter_336,48,7,10.58,55,1.46,4.64
Recruiter_337,53,11,2.23,45,0.59,4.23
Recruiter_338,56,10,16.95,27,1.91,3.93
Recruiter_339,43,17,17.18,39,1.73,2.86
Recruiter_340,62,6,2.38,80,1.57,4.05
Recruiter_341,44,9,7.39,80,2.29,3.01
Recruiter_342,44,15,6.87,90,2.55,3.2
Recruiter_343,47,12,3.31,28,0.6,3.94
Recruiter_344,49,8,2.86,15,2.42,3.85
Recruiter_345,45,7,3.67,71,2.68,4.08
Recruiter_346,37,10,5.33,82,2.31,1.14
Recruiter_347,41,10,13.8,26,0.55,2.57
Recruiter_348,46,11,2.84,29,2.65,4.46
Recruiter_349,52,11,1.71,23,0.67,2.64
Recruiter_350,44,9,1.34,51,2.36,2.54
Recruiter_351,55,10,2.48,33,0.72,1.52
Recruiter_352,47,11,5.42,10,2.69,3.19
Recruiter_353,51,7,5.48,56,2.23,2.84
Recruiter_354,56,10,10.5,62,1.57,4.18
Recruiter_355,38,5,0.59,59,1.78,2.01
Recruiter_356,40,4,1.38,58,1.61,3.51
Recruiter_357,48,18,0.28,69,1.33,3.53
Recruiter_358,50,9,3.06,65,2.48,1.41
Recruiter_359,46,10,1.94,29,2.16,1.67
Recruiter_360,51,11,4.68,87,2.91,1.42
Recruiter_361,45,9,1.43,52,1.71,3.57
Recruiter_362,58,9,9.03,39,0.66,2.64
Recruiter_363,69,6,7.06,12,1.6,3.35
Recruiter_364,49,15,0.43,34,1.1,4.93
Recruiter_365,59,8,7.55,27,0.92,1.09
Recruiter_366,52,14,13.42,83,1.56,2.91
Recruiter_367,64,11,29.93,67,1.42,1.43
Recruiter_368,68,9,1.94,39,2.16,2.68
Recruiter_369,52,13,4.06,75,1.86,3.92
Recruiter_370,44,7,4.63,40,2.16,3.22
Recruiter_371,50,12,4.93,27,1.85,3.66
Recruiter_372,51,6,3.91,65,0.88,2.24
Recruiter_373,62,7,7.4,60,1.23,3.03
Recruiter_374,55,12,0.3,61,2.21,2.48
Recruiter_375,42,10,16.09,64,0.74,1.76
Recruiter_376,41,19,3.28,41,2.53,2.36
Recruiter_377,55,11,2.07,49,0.8,3.54
Recruiter_378,54,15,8.34,44,1.57,3.83
Recruiter_379,52,7,1.15,51,2.74,2.72
Recruiter_380,49,7,2.47,11,1.11,2.07
Recruiter_381,44,3,7.18,90,2.09,3.77
Recruiter_382,62,13,37.32,70,1.98,3.73
Recruiter_383,55,18,6.44,41,1.6,1.36
Recruiter_384,41,15,8.31,60,0.87,2.91
Recruiter_385,57,15,0.7,90,2.2,4.25
Recruiter_386,52,13,10.9,98,2.24,3.83
Recruiter_387,62,7,16.22,93,1.92,1.49
Recruiter_388,40,12,4.91,14,2.25,4.57
Recruiter_389,47,8,5.55,72,2.36,3.37
Recruiter_390,45,7,11.8,13,0.52,4.48
Recruiter_391,54,10,0.06,55,1.85,2.23
Recruiter_392,51,8,9.14,46,1.84,2.34
Recruiter_393,55,13,9.88,80,2.51,2.66
Recruiter_394,42,3,5.33,24,1.4,2.9
Recruiter_395,40,8,0.17,73,0.62,1.68
Recruiter_396,43,10,23.12,92,1.3,3.34
Recruiter_397,59,10,4.69,92,2.57,3.38
Recruiter_398,61,8,1.58,76,2.27,4.75
Recruiter_399,50,13,10.62,53,0.53,1.9
Recruiter_400,37,8,1.81,91,2.01,3.92
Recruiter_401,50,13,2.06,20,1.1,1.05
Recruiter_402,34,8,6.67,42,2.43,4.33
Recruiter_403,49,9,16.64,42,1.63,3.46
Recruiter_404,54,10,6.77,98,2.29,4.77
Recruiter_405,45,9,4.54,36,2.4,1.3
Recruiter_406,48,7,8.94,11,0.83,4.19
Recruiter_407,55,10,1.18,87,1.6,2.29
Recruiter_408,58,11,1.21,22,0.61,1.78
Recruiter_409,46,8,5.76,12,1.26,3.07
Recruiter_410,44,10,0.2,64,0.58,2.89
Recruiter_411,51,14,3.88,32,2.22,1.56
Recruiter_412,54,6,2.92,48,2.17,3.6
Recruiter_413,46,15,14.3,50,2.1,1.06
Recruiter_414,56,11,11.68,15,1.36,2.53
Recruiter_415,48,12,3.04,44,1.13,4.63
Recruiter_416,60,12,8.83,75,2.65,1.87
Recruiter_417,53,14,26.16,47,1.58,2.01
Recruiter_418,47,8,7.3,81,2.8,3.49
Recruiter_419,43,12,3.06,26,1.92,4.75
Recruiter_420,45,11,2.25,77,1.61,1.68
Recruiter_421,56,7,6.49,39,1.86,2.18
Recruiter_422,44,8,20.74,74,0.57,2.4
Recruiter_423,54,7,1.71,49,0.92,3.64
Recruiter_424,52,15,3.54,33,0.75,3.4
Recruiter_425,57,20,0.62,14,2.13,2.91
Recruiter_426,50,8,14.51,90,1.26,2.3
Recruiter_427,44,5,35.6,89,1.74,4.96
Recruiter_428,65,9,5.85,62,0.78,5.0
Recruiter_429,49,9,0.1,29,2.95,3.43
Recruiter_430,43,12,5.46,62,2.09,1.19
Recruiter_431,60,10,9.64,56,1.99,2.12
Recruiter_432,48,11,10.39,95,0.95,1.45
Recruiter_433,53,10,0.27,31,0.68,2.33
Recruiter_434,43,11,15.9,19,2.52,4.37
Recruiter_435,43,13,6.88,31,1.53,1.81
Recruiter_436,59,9,6.52,46,2.89,1.76
Recruiter_437,52,8,6.23,50,2.38,3.59
Recruiter_438,49,14,12.4,76,2.23,3.06
Recruiter_439,57,8,8.97,19,2.32,2.8
Recruiter_440,41,7,10.64,39,1.04,4.43
Recruiter_441,58,15,4.86,50,2.31,4.72
Recruiter_442,52,7,1.87,38,2.07,1.29
Recruiter_443,44,6,7.87,43,1.89,3.65
Recruiter_444,61,13,1.28,22,0.79,1.43
Recruiter_445,41,14,0.82,54,2.37,3.74
Recruiter_446,56,6,4.69,34,1.27,4.81
Recruiter_447,49,6,27.38,29,2.09,3.55
Recruiter_448,59,12,0.34,38,2.42,4.68
Recruiter_449,59,14,16.72,58,1.77,4.77
Recruiter_450,47,11,3.57,35,0.61,2.69
Recruiter_451,52,11,0.66,48,1.66,1.0
Recruiter_452,56,11,1.33,13,1.81,2.0
Recruiter_453,50,7,2.46,97,1.1,4.82
Recruiter_454,54,13,10.13,88,0.79,3.92
Recruiter_455,45,11,2.39,32,1.87,1.34
Recruiter_456,55,7,16.1,58,2.99,4.08
Recruiter_457,59,7,1.36,76,2.15,1.82
Recruiter_458,56,11,2.46,35,0.97,1.83
Recruiter_459,43,11,1.75,84,0.94,2.17
Recruiter_460,45,14,2.74,93,1.2,2.47
Recruiter_461,44,9,4.09,87,2.29,4.09
Recruiter_462,47,9,5.92,96,2.06,1.4
Recruiter_463,54,12,4.23,73,1.16,4.35
Recruiter_464,29,8,4.88,55,1.9,1.03
Recruiter_465,59,8,2.66,55,2.59,2.72
Recruiter_466,43,12,0.95,68,2.93,2.3
Recruiter_467,54,15,12.02,62,1.69,4.61
Recruiter_468,51,2,3.18,55,2.83,3.13
Recruiter_469,50,4,21.14,64,2.68,2.34
Recruiter_470,44,7,8.48,34,1.83,4.86
Recruiter_471,43,7,1.84,88,0.55,1.26
Recruiter_472,51,10,5.1,91,2.25,4.69
Recruiter_473,50,8,1.41,57,0.97,3.8
Recruiter_474,73,13,5.37,47,2.36,2.73
Recruiter_475,51,7,16.87,32,2.08,4.04
Recruiter_476,55,6,6.67,66,1.94,3.78
Recruiter_477,52,8,4.74,40,1.24,1.92
Recruiter_478,61,8,6.03,57,2.34,4.34
Recruiter_479,46,6,5.49,83,1.47,3.69
Recruiter_480,58,14,18.23,69,0.69,3.27
Recruiter_481,52,15,0.32,52,1.51,4.32
Recruiter_482,62,5,4.73,53,2.73,1.63
Recruiter_483,46,10,1.54,88,0.5,3.41
Recruiter_484,42,8,4.48,50,2.79,3.09
Recruiter_485,53,10,6.14,62,1.77,1.95
Recruiter_486,56,12,21.46,32,1.53,3.29
Recruiter_487,49,9,11.8,24,1.16,4.89
Recruiter_488,52,6,5.4,59,2.91,1.08
Recruiter_489,40,7,3.13,91,1.82,3.75
Recruiter_490,51,12,8.27,15,1.16,1.59
Recruiter_491,60,7,17.34,89,0.95,1.79
Recruiter_492,51,10,8.48,19,0.93,4.12
Recruiter_493,44,9,0.4,52,2.45,1.02
Recruiter_494,43,4,2.99,47,2.52,2.47
Recruiter_495,48,13,7.19,47,1.35,1.21
Recruiter_496,50,11,14.73,41,1.4,2.21
Recruiter_497,46,10,8.19,23,2.48,2.21
Recruiter_498,49,11,7.32,43,2.21,4.27
Recruiter_499,51,8,0.98,49,2.68,3.86
Recruiter_500,57,8,7.76,55,1.49,1.07
Recruiter_501,49,6,4.22,50,2.98,3.87
Recruiter_502,50,9,2.76,97,2.98,3.47
Recruiter_503,59,7,16.14,75,2.04,2.26
Recruiter_504,46,10,18.73,69,1.7,2.0
Recruiter_505,53,11,4.77,41,1.85,2.79
Recruiter_506,54,12,0.35,85,0.87,1.64
Recruiter_507,51,11,3.1,54,1.49,4.47
Recruiter_508,52,10,3.82,40,1.95,2.53
Recruiter_509,66,11,5.82,89,0.72,2.88
Recruiter_510,56,7,3.28,31,1.78,3.74
Recruiter_511,44,7,10.2,38,2.81,4.12
Recruiter_512,51,14,0.66,57,2.1,1.83
Recruiter_513,38,6,10.01,55,2.74,3.33
Recruiter_514,39,6,19.82,66,1.91,4.83
Recruiter_515,57,7,9.18,42,0.75,3.72
Recruiter_516,46,9,6.62,81,2.55,3.65
Recruiter_517,64,7,13.15,91,1.06,4.83
Recruiter_518,51,10,4.78,33,0.57,4.09
Recruiter_519,48,8,3.18,47,1.75,1.29
Recruiter_520,50,12,5.33,57,1.12,3.83
Recruiter_521,48,7,18.42,40,2.68,1.98
Recruiter_522,59,14,8.62,86,2.7,2.54
Recruiter_523,56,8,10.75,91,2.27,4.71
Recruiter_524,57,14,26.74,63,1.46,1.54
Recruiter_525,42,11,2.24,52,2.27,4.64
Recruiter_526,52,6,0.31,31,1.29,2.9
Recruiter_527,49,9,5.99,40,1.42,4.5
Recruiter_528,55,7,4.36,89,2.99,1.17
Recruiter_529,60,7,17.41,77,1.85,4.59
Recruiter_530,59,7,0.65,94,2.11,3.03
Recruiter_531,57,9,12.78,52,1.65,1.35
Recruiter_532,48,16,4.76,53,0.85,2.78
Recruiter_533,56,5,6.4,78,2.84,3.83
Recruiter_534,51,17,8.39,77,0.71,3.89
